reference,,,,,inner,,,,,outer,,,,,both,,,
real ,user,sys,speed-up,,real ,user,sys,speed-up,,real ,user,sys,speed-up,,real ,user,sys,speed-up
0.019,0.003,0.003,1,0,0.016,0.002,0.003,1.1875,0,0.018,0.004,0.005,1.0556,0,0.017,0.003,0.004,1.1176
2.029,2.153,0.018,1,0,0.969,3.376,0.021,2.0939,0,0.866,3.048,0.013,2.343,0,0.949,3.336,0.011,2.138
4.283,4.482,0.054,1,0,1.831,6.649,0.024,2.3392,0,1.744,6.044,0.023,2.4558,0,1.891,6.67,0.018,2.2649
6.567,6.878,0.093,1,0,2.719,10.081,0.038,2.4152,0,2.666,9.041,0.03,2.4632,0,2.746,10.046,0.023,2.3915
8.531,8.993,0.098,1,0,3.598,13.388,0.045,2.371,0,3.448,12.027,0.038,2.4742,0,3.72,13.419,0.035,2.2933
10.823,11.436,0.116,1,0,4.48,16.736,0.054,2.4158,0,4.217,15.051,0.038,2.5665,0,4.657,16.71,0.047,2.324
13.518,14.399,0.069,1,0,5.441,20.083,0.057,2.4845,0,5.055,18.047,0.046,2.6742,0,5.664,20.014,0.055,2.3867
15.84,16.882,0.074,1,0,6.326,23.555,0.075,2.504,0,5.91,21.104,0.054,2.6802,0,6.424,23.36,0.05,2.4658
17.423,18.46,0.145,1,0,7.153,26.799,0.075,2.4358,0,6.752,24.138,0.063,2.5804,0,7.2,26.824,0.06,2.4199
