reference,,,,,inner,,,,,outer ,,,,,both,,,
real ,user,sys,speed-up,,real ,user,sys,speed-up,,real ,user,sys,speed-up,,real ,user,sys,speed-up
0.027,0.003,0.004,1,0,0.015,0.003,0.006,1.8,0,0.015,0.002,0.002,1.8,0,0.018,0.004,0.006,1.5
0.244,0.248,0.003,1,0,0.141,0.403,0.005,1.7305,0,0.106,0.362,0.003,2.3019,0,0.129,0.403,0.005,1.8915
0.944,1,0.006,1,0,0.453,1.625,0.009,2.0839,0,0.426,1.427,0.007,2.216,0,0.48,1.585,0.006,1.9667
2.098,2.24,0.009,1,0,1.028,3.495,0.015,2.0409,0,0.945,3.193,0.014,2.2201,0,0.974,3.548,0.008,2.154
3.654,3.921,0.018,1,0,1.755,6.332,0.03,2.0821,0,1.601,5.658,0.017,2.2823,0,1.743,6.33,0.02,2.0964
5.678,6.084,0.024,1,0,2.886,9.898,0.072,1.9674,0,2.461,8.843,0.028,2.3072,0,2.705,9.833,0.027,2.0991
8.009,8.586,0.038,1,0,4.566,14.239,0.107,1.7541,0,3.593,12.699,0.035,2.2291,0,3.99,14.072,0.04,2.0073
10.945,11.73,0.046,1,0,5.279,19.315,0.088,2.0733,0,4.835,17.254,0.044,2.2637,0,5.275,19.345,0.048,2.0749
14.306,15.33,0.055,1,0,7.006,25.18,0.112,2.042,0,6.392,22.43,0.057,2.2381,0,6.769,25.266,0.056,2.1135
